textbox17,textbox45,textbox39,textbox40,textbox41,textbox42,textbox43,textbox6,textbox9,textbox14,textbox15,textbox16,textbox20,textbox21,textbox22,textbox25,textbox26,textbox27,textbox7
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2018,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,"4,503","$61,845.02","$1,224.02",July 2017,"1,081",11.75,0.97,13.99,13.57,"$14,675.96",$454.02
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2018,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,"4,503","$61,845.02","$1,224.02",August 2017,"1,058",11.73,0.97,13.99,13.57,"$14,369.54",$444.36
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2018,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,"4,503","$61,845.02","$1,224.02",September 2017,784,11.43,0.97,13.99,13.57,"$10,642.68",$329.28
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2018,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,"4,503","$61,845.02","$1,224.02",October 2017,751,11.22,0.97,13.99,13.57,"$10,198.67",$315.42
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2018,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,"4,503","$61,845.02","$1,224.02",November 2017,243,10.83,1.00,13.99,13.99,"$3,400.55",$0.00
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2018,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,"4,503","$61,845.02","$1,224.02",December 2017,0,0.00,1.30,13.99,18.19,$0.00,$0.00
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2018,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,"4,503","$61,845.02","$1,224.02",January 2018,5,13.66,0.91,13.99,12.73,$67.98,$6.30
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2018,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,"4,503","$61,845.02","$1,224.02",February 2018,0,0.00,1.30,13.99,18.19,$0.00,$0.00
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2018,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,"4,503","$61,845.02","$1,224.02",March 2018,25,9.67,1.04,13.99,14.55,$374.23,-$14.00
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2018,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,"4,503","$61,845.02","$1,224.02",April 2018,6,9.71,1.04,13.99,14.55,$93.70,-$3.36
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2018,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,"4,503","$61,845.02","$1,224.02",May 2018,214,9.96,1.04,13.99,14.55,"$3,125.78",-$119.84
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2018,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,"4,503","$61,845.02","$1,224.02",June 2018,336,9.04,1.04,13.99,14.55,"$4,895.93",-$188.16
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2017,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,410,"$5,559.60",$0.00,May 2017,0,0.00,1.30,13.56,17.63,$0.00,$0.00
"Mckinlock Hall, Leverett House (03284; B-940B)",Fiscal Year 2017,"Usage
(Ton-Days)","Average
delta-T","delta-T
Factor","Base
Rate","Effective
Rate",delta-T,410,"$5,559.60",$0.00,June 2017,410,10.90,1.00,13.56,13.56,"$5,559.60",$0.00
